,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
183,184,7,724.407586885786,415.50583690934286,308.90174997644317,95982.92712107764,0.00025,114813.83903682549,90013.76615790311,24800.072878922263,1000
184,185,7,724.407586885786,414.1729047005404,310.2346821852456,95672.6924388924,0.00025,115538.24662371128,90427.93906260365,25110.307561107507,1000
185,186,7,724.407586885786,412.8342207979603,311.5733660878257,95361.11907280456,0.00025,116262.65421059707,90840.7732834016,25421.880927195332,1000
186,187,7,724.407586885786,411.48976038264976,312.91782650313627,95048.20124630143,0.00025,116987.06179748286,91252.26304378426,25734.79875369847,1000
187,188,7,724.407586885786,410.1394985285609,314.2680883572251,94733.9331579442,0.00025,117711.46938436865,91662.40254231282,26049.066842055694,1000
188,189,7,724.407586885786,408.7834102020879,315.6241766836981,94418.30898126049,0.00025,118435.87697125445,92071.1859525149,26364.69101873939,1000
189,190,7,724.407586885786,407.4214702616034,316.9861166241826,94101.32286463631,0.00025,119160.28455814024,92478.6074227765,26681.677135363574,1000
190,191,7,724.407586885786,406.05365345699227,318.35393342879377,93782.96893120752,0.00025,119884.69214502603,92884.6610762335,27000.031068792367,1000
191,192,7,724.407586885786,404.6799344291831,319.7276524566029,93463.24127875092,0.00025,120609.09973191182,93289.34101066268,27319.75872124897,1000
192,193,8,747.7733972054738,403.30028770967857,344.4731094957952,93118.76816925513,0.00025,121356.87312911729,93692.64129837236,27664.231830744768,1000
193,194,8,747.7733972054738,401.8138626481557,345.9595345573181,92772.80863469781,0.00025,122104.64652632276,94094.45516102051,28010.191365302086,1000
194,195,8,747.7733972054738,400.32102356068225,347.4523736447915,92425.35626105302,0.00025,122852.41992352823,94494.77618458119,28357.643738946877,1000
195,196,8,747.7733972054738,398.82174277029725,348.9516544351765,92076.40460661784,0.00025,123600.1933207337,94893.59792735148,28706.595393382053,1000
196,197,8,747.7733972054738,397.31599248061116,350.4574047248626,91725.94720189298,0.00025,124347.96671793917,95290.91391983209,29057.052798106917,1000
